idv;idb;tab;hi;hf;ti;tf;dur;pp
1;0;1;05:30:00;06:07:00;9;4;00:37:00;
2;0;1;05:54:00;06:31:00;9;4;00:37:00;
3;0;1;06:15:00;06:52:00;9;4;00:37:00;
4;0;1;06:22:00;06:59:00;9;4;00:37:00;
5;0;1;06:29:00;07:06:00;9;4;00:37:00;
6;0;1;06:36:00;07:13:00;9;4;00:37:00;
7;0;1;06:42:00;07:19:00;9;4;00:37:00;
8;0;1;06:48:00;07:25:00;9;4;00:37:00;
9;0;1;06:54:00;07:34:00;9;4;00:40:00;
10;0;1;06:59:00;07:39:00;9;4;00:40:00;
11;0;1;07:04:00;07:44:00;9;4;00:40:00;
12;0;1;07:08:00;07:48:00;9;4;00:40:00;
13;0;1;07:12:00;07:52:00;9;4;00:40:00;
14;0;1;07:16:00;07:56:00;9;4;00:40:00;
15;0;1;07:20:00;08:00:00;9;4;00:40:00;
16;0;1;07:24:00;08:04:00;9;4;00:40:00;
17;0;1;07:28:00;08:08:00;9;4;00:40:00;
18;0;1;07:32:00;08:12:00;9;4;00:40:00;
19;0;1;07:36:00;08:16:00;9;4;00:40:00;
20;0;1;07:40:00;08:20:00;9;4;00:40:00;
21;0;1;07:45:00;08:25:00;9;4;00:40:00;
22;0;1;07:50:00;08:30:00;9;4;00:40:00;
23;0;1;07:55:00;08:35:00;9;4;00:40:00;
24;0;1;08:00:00;08:40:00;9;4;00:40:00;
25;0;1;08:06:00;08:46:00;9;4;00:40:00;
26;0;1;08:12:00;08:52:00;9;4;00:40:00;
27;0;1;08:18:00;08:58:00;9;4;00:40:00;
28;0;1;08:24:00;09:04:00;9;4;00:40:00;
29;0;1;08:32:00;09:12:00;9;4;00:40:00;
30;0;1;08:40:00;09:20:00;9;4;00:40:00;
31;0;1;08:48:00;09:28:00;9;4;00:40:00;
32;0;1;08:56:00;09:36:00;9;4;00:40:00;
33;0;1;09:04:00;09:44:00;9;4;00:40:00;
34;0;1;09:12:00;09:52:00;9;4;00:40:00;
35;0;1;09:20:00;10:00:00;9;4;00:40:00;
36;0;1;09:28:00;10:08:00;9;4;00:40:00;
37;0;1;09:36:00;10:16:00;9;4;00:40:00;
38;0;1;09:44:00;10:24:00;9;4;00:40:00;
39;0;1;09:52:00;10:32:00;9;4;00:40:00;
40;0;1;10:00:00;10:40:00;9;4;00:40:00;
41;0;1;10:08:00;10:48:00;9;4;00:40:00;
42;0;1;10:16:00;10:56:00;9;4;00:40:00;
43;0;1;10:24:00;11:04:00;9;4;00:40:00;
44;0;1;10:31:00;11:11:00;9;4;00:40:00;
45;0;1;10:38:00;11:18:00;9;4;00:40:00;
46;0;1;10:45:00;11:25:00;9;4;00:40:00;
47;0;1;10:52:00;11:32:00;9;4;00:40:00;
48;0;1;10:58:00;11:38:00;9;4;00:40:00;
49;0;1;11:04:00;11:44:00;9;4;00:40:00;
50;0;1;11:10:00;11:50:00;9;4;00:40:00;
51;0;1;11:16:00;11:56:00;9;4;00:40:00;
52;0;1;11:22:00;12:02:00;9;4;00:40:00;
53;0;1;11:28:00;12:08:00;9;4;00:40:00;
54;0;1;11:35:00;12:15:00;9;4;00:40:00;
55;0;1;11:42:00;12:22:00;9;4;00:40:00;
56;0;1;11:49:00;12:29:00;9;4;00:40:00;
57;0;1;11:56:00;12:36:00;9;4;00:40:00;
58;0;1;12:03:00;12:43:00;9;4;00:40:00;
59;0;1;12:09:00;12:49:00;9;4;00:40:00;
60;0;1;12:15:00;12:55:00;9;4;00:40:00;
61;0;1;12:21:00;13:01:00;9;4;00:40:00;
62;0;1;12:27:00;13:07:00;9;4;00:40:00;
63;0;1;12:33:00;13:13:00;9;4;00:40:00;
64;0;1;12:39:00;13:19:00;9;4;00:40:00;
65;0;1;12:45:00;13:25:00;9;4;00:40:00;
66;0;1;12:51:00;13:31:00;9;4;00:40:00;
67;0;1;12:57:00;13:37:00;9;4;00:40:00;
68;0;1;13:03:00;13:43:00;9;4;00:40:00;
69;0;1;13:09:00;13:49:00;9;4;00:40:00;
70;0;1;13:15:00;13:55:00;9;4;00:40:00;
71;0;1;13:21:00;14:01:00;9;4;00:40:00;
72;0;1;13:28:00;14:08:00;9;4;00:40:00;
73;0;1;13:35:00;14:15:00;9;4;00:40:00;
74;0;1;13:42:00;14:22:00;9;4;00:40:00;
75;0;1;13:50:00;14:30:00;9;4;00:40:00;
76;0;1;13:57:00;14:37:00;9;4;00:40:00;
77;0;1;14:03:00;14:43:00;9;4;00:40:00;
78;0;1;14:10:00;14:50:00;9;4;00:40:00;
79;0;1;14:17:00;14:57:00;9;4;00:40:00;
80;0;1;14:24:00;15:04:00;9;4;00:40:00;
81;0;1;14:31:00;15:11:00;9;4;00:40:00;
82;0;1;14:38:00;15:18:00;9;4;00:40:00;
83;0;1;14:45:00;15:25:00;9;4;00:40:00;
84;0;1;14:52:00;15:32:00;9;4;00:40:00;
85;0;1;14:59:00;15:39:00;9;4;00:40:00;
86;0;1;15:06:00;15:46:00;9;4;00:40:00;
87;0;1;15:13:00;15:53:00;9;4;00:40:00;
88;0;1;15:20:00;16:00:00;9;4;00:40:00;
89;0;1;15:27:00;16:07:00;9;4;00:40:00;
90;0;1;15:33:00;16:13:00;9;4;00:40:00;
91;0;1;15:39:00;16:19:00;9;4;00:40:00;
92;0;1;15:45:00;16:25:00;9;4;00:40:00;
93;0;1;15:51:00;16:31:00;9;4;00:40:00;
94;0;1;15:57:00;16:37:00;9;4;00:40:00;
95;0;1;16:03:00;16:43:00;9;4;00:40:00;
96;0;1;16:09:00;16:49:00;9;4;00:40:00;
97;0;1;16:15:00;16:55:00;9;4;00:40:00;
98;0;1;16:21:00;17:01:00;9;4;00:40:00;
99;0;1;16:27:00;17:07:00;9;4;00:40:00;
100;0;1;16:33:00;17:13:00;9;4;00:40:00;
101;0;1;16:39:00;17:19:00;9;4;00:40:00;
